frame	kind	x	y	w	h	area
172	VEL-HI	320	64	128	96	7
172	VEL-HI	160	1120	64	64	4
172	VEL-LO	0	448	128	320	20
173	PLANT	311	299	306	394	58415
173	VEL-HI	608	64	64	64	4
173	VEL-LO	32	32	448	512	106
174	PLANT	313	273	308	428	60198
174	VEL-HI	192	608	64	96	4
174	VEL-LO	32	96	416	448	85
175	PLANT	313	273	326	430	63547
175	VEL-HI	160	512	96	160	5
175	VEL-LO	0	0	384	416	108
176	PLANT	313	279	330	434	62687
176	VEL-HI	192	512	64	96	5
176	VEL-HI	448	1216	96	64	5
176	VEL-LO	0	0	544	352	133
177	PLANT	311	285	324	436	63041
177	VEL-HI	32	544	64	96	5
177	VEL-LO	0	0	704	256	115
178	PLANT	315	289	322	439	65474
178	VEL-LO	0	0	480	320	76
179	PLANT	315	303	324	432	67523
179	VEL-HI	352	384	64	96	6
179	VEL-LO	64	0	352	384	51
180	PLANT	315	309	320	432	68086
180	VEL-HI	192	672	96	96	5
180	VEL-LO	224	352	192	224	17
181	PLANT	315	311	320	436	69157
181	VEL-LO	192	288	128	192	14
182	PLANT	289	311	348	442	67924
182	VEL-HI	64	576	96	96	6
182	VEL-LO	32	608	256	288	24
183	PLANT	297	313	340	448	68314
183	VEL-HI	64	608	64	64	4
183	VEL-LO	512	416	192	256	22
184	PLANT	309	317	328	448	69835
184	VEL-LO	192	288	320	192	22
185	PLANT	301	331	334	440	70461
186	PLANT	297	335	338	442	69028
186	VEL-LO	512	512	128	192	15
187	PLANT	295	331	348	452	68149
188	PLANT	297	337	350	450	68234
188	VEL-HI	256	832	96	64	4
189	PLANT	313	343	330	450	69612
190	PLANT	311	359	340	438	69900
190	VEL-HI	32	128	64	128	5
190	VEL-HI	352	384	64	96	4
190	VEL-LO	192	320	480	480	89
191	PLANT	311	345	342	456	71539
191	VEL-LO	352	704	192	352	24
192	PLANT	309	345	344	460	72394
192	VEL-HI	416	96	96	96	5
192	VEL-HI	608	160	64	96	4
192	VEL-LO	256	640	448	576	95
193	PLANT	291	353	358	456	69955
193	VEL-HI	320	32	128	160	8
193	VEL-HI	0	96	64	64	4
193	VEL-LO	224	704	480	576	106
194	PLANT	285	361	354	452	70396
194	VEL-LO	0	672	224	576	49
195	PLANT	279	371	350	445	72158
195	VEL-HI	416	384	192	224	23
195	VEL-HI	96	0	96	96	6
195	VEL-LO	480	0	192	96	11
196	PLANT	263	369	358	450	74239
196	VEL-HI	320	416	224	256	30
196	VEL-HI	64	480	160	64	5
196	VEL-LO	416	672	288	512	59
197	PLANT	259	375	354	448	73633
197	VEL-HI	352	384	192	96	9
197	VEL-HI	320	64	96	128	7
197	VEL-LO	416	0	256	128	16
198	PLANT	261	371	350	454	73632
198	VEL-HI	0	64	128	128	7
198	VEL-HI	416	96	96	64	4
198	VEL-LO	448	0	160	96	10
199	PLANT	261	373	354	456	72497
199	VEL-HI	544	128	64	64	4
199	VEL-LO	480	672	224	480	52
200	PLANT	265	377	358	458	71935
200	VEL-HI	320	288	128	128	8
200	VEL-HI	384	544	64	96	6
200	VEL-LO	512	800	192	480	40
201	PLANT	276	381	351	456	70722
201	VEL-HI	416	448	96	192	10
201	VEL-HI	576	128	64	96	5
202	PLANT	277	385	350	456	69256
202	VEL-HI	320	160	128	96	7
202	VEL-HI	288	0	128	128	6
202	VEL-LO	448	0	256	384	38
203	PLANT	277	387	352	456	70195
203	VEL-HI	320	0	128	64	6
203	VEL-HI	384	288	96	96	5
204	PLANT	291	389	336	454	71183
204	VEL-HI	320	448	256	224	22
204	VEL-HI	64	128	128	64	5
205	PLANT	283	387	340	458	71690
205	VEL-HI	384	384	192	352	32
205	VEL-HI	256	0	128	64	7
206	PLANT	269	389	352	458	71714
206	VEL-HI	288	416	256	224	28
207	PLANT	265	391	358	456	71712
207	VEL-HI	384	544	96	128	8
207	VEL-HI	384	704	64	96	6
208	PLANT	269	393	356	453	71895
208	VEL-HI	288	384	320	448	64
209	PLANT	287	393	342	456	71169
209	VEL-HI	320	384	288	416	57
210	PLANT	277	393	350	456	71143
210	VEL-HI	320	384	288	416	66
211	PLANT	263	393	362	456	71984
211	VEL-HI	288	384	288	416	63
212	PLANT	257	395	370	454	72788
212	VEL-HI	320	384	288	416	59
213	PLANT	277	393	356	456	73460
213	VEL-HI	288	384	352	416	80
214	PLANT	283	391	350	454	72061
214	VEL-HI	288	384	352	416	81
215	PLANT	281	393	354	452	70707
215	VEL-HI	288	384	320	416	67
216	PLANT	285	393	350	452	70992
216	VEL-HI	288	384	352	416	67
217	PLANT	295	401	338	444	72279
217	VEL-HI	288	384	320	320	48
218	PLANT	291	403	344	444	71905
218	VEL-HI	416	448	192	128	17
218	VEL-HI	384	640	96	128	8
219	PLANT	277	393	359	452	71196
219	VEL-HI	416	384	192	288	31
219	VEL-HI	384	672	96	96	7
220	PLANT	285	391	348	456	71275
220	VEL-HI	288	384	320	320	49
220	VEL-HI	480	736	96	96	5
221	PLANT	281	391	352	452	71699
221	VEL-HI	384	448	224	384	47
222	PLANT	273	393	358	450	72118
222	VEL-HI	320	384	288	320	48
223	PLANT	277	393	348	450	71624
223	VEL-HI	352	512	288	288	46
223	VEL-LO	352	0	352	512	79
224	PLANT	283	392	344	451	71196
224	VEL-HI	512	576	128	96	6
224	VEL-HI	256	864	96	96	6
225	PLANT	283	391	348	446	70624
225	VEL-HI	384	384	192	288	26
225	VEL-LO	480	672	128	96	11
226	PLANT	285	391	342	448	71065
226	VEL-HI	416	576	128	96	6
226	VEL-HI	160	800	96	96	6
227	PLANT	281	391	342	446	70113
227	VEL-HI	416	544	192	192	13
227	VEL-HI	320	480	64	64	4
228	PLANT	271	389	352	448	70892
228	VEL-HI	384	448	192	224	24
228	VEL-HI	288	480	96	96	6
229	PLANT	265	391	354	446	71950
229	VEL-HI	384	384	224	320	39
229	VEL-HI	192	832	128	128	8
230	PLANT	265	387	348	448	72705
230	VEL-HI	288	384	288	320	45
231	PLANT	261	391	350	444	72975
231	VEL-HI	384	384	224	192	27
231	VEL-HI	192	832	128	128	7
232	PLANT	269	389	338	444	73513
232	VEL-HI	384	416	224	288	23
233	PLANT	267	393	340	442	73072
233	VEL-HI	352	544	96	128	9
233	VEL-HI	64	480	128	96	7
234	PLANT	275	393	332	440	72202
234	VEL-HI	352	416	192	192	24
235	PLANT	273	381	338	448	73032
235	VEL-HI	320	384	288	384	71
235	VEL-HI	224	864	96	64	4
236	PLANT	261	373	354	456	71816
236	VEL-HI	352	384	256	384	48
236	VEL-HI	288	480	64	64	4
237	PLANT	257	375	350	453	71261
237	VEL-HI	256	384	352	384	63
237	VEL-LO	32	736	160	256	19
238	PLANT	257	381	350	446	72264
238	VEL-HI	256	352	352	448	83
239	PLANT	249	391	352	436	71933
239	VEL-HI	288	384	320	352	62
240	PLANT	241	389	360	438	72764
240	VEL-HI	256	384	352	352	69
241	PLANT	237	379	354	448	72763
241	VEL-HI	256	384	352	384	65
241	VEL-LO	192	1024	160	224	20
242	PLANT	241	379	352	450	72917
242	VEL-HI	320	384	256	384	52
243	PLANT	251	381	344	448	72749
243	VEL-HI	288	384	256	288	45
243	VEL-HI	512	672	64	64	4
244	PLANT	251	377	346	450	72909
244	VEL-HI	288	352	288	320	55
244	VEL-LO	288	704	160	224	13
245	PLANT	253	373	350	454	71392
245	VEL-HI	320	416	256	288	45
245	VEL-HI	448	96	128	96	7
246	PLANT	253	371	352	454	70842
246	VEL-HI	384	416	160	256	27
246	VEL-LO	96	576	512	672	154
247	PLANT	249	377	350	448	71297
247	VEL-HI	384	416	192	288	35
248	PLANT	245	377	352	448	72573
248	VEL-HI	288	352	288	384	62
248	VEL-LO	0	576	256	512	49
249	PLANT	243	379	348	444	72911
249	VEL-HI	256	352	352	416	86
249	VEL-LO	448	800	256	480	42
250	PLANT	241	373	344	450	72910
250	VEL-HI	448	352	128	160	9
251	PLANT	235	377	352	446	72204
251	VEL-HI	352	416	192	224	22
251	VEL-HI	352	672	64	96	5
251	VEL-LO	32	832	160	448	27
252	PLANT	237	374	350	449	72189
252	VEL-HI	320	416	224	224	25
252	VEL-LO	384	544	224	256	26
253	PLANT	237	375	350	448	72615
253	VEL-HI	352	416	128	96	6
253	VEL-LO	320	576	256	224	34
254	PLANT	235	375	350	448	71803
254	VEL-HI	288	448	288	256	47
255	PLANT	234	375	351	450	70910
255	VEL-HI	352	384	192	224	25
255	VEL-HI	320	672	128	96	8
256	PLANT	237	377	350	448	70894
256	VEL-HI	288	384	288	384	59
257	PLANT	235	375	358	450	71333
257	VEL-HI	256	416	320	384	61
258	PLANT	229	377	364	446	71419
258	VEL-HI	288	480	160	160	14
258	VEL-LO	352	448	352	832	115
259	PLANT	233	377	358	447	72817
259	VEL-HI	256	416	288	256	42
259	VEL-LO	416	672	128	128	13
260	PLANT	243	381	348	442	73399
260	VEL-HI	256	416	288	224	39
260	VEL-LO	288	640	192	128	15
261	PLANT	235	377	356	448	72989
261	VEL-HI	256	480	128	128	8
262	PLANT	237	377	354	448	72341
262	VEL-HI	352	416	160	256	24
263	PLANT	247	377	346	448	72695
263	VEL-HI	288	352	288	416	58
263	VEL-LO	512	608	192	320	26
264	PLANT	247	373	352	452	73234
264	VEL-HI	288	352	288	352	55
265	PLANT	243	371	356	454	72533
265	VEL-HI	288	480	224	288	26
266	PLANT	239	379	358	446	72457
266	VEL-HI	288	352	288	320	48
267	PLANT	241	377	354	450	71873
267	VEL-HI	320	416	288	320	46
268	PLANT	245	383	354	444	72589
268	VEL-HI	448	384	96	64	5
269	PLANT	245	383	356	444	72730
269	VEL-HI	352	352	256	416	48
270	PLANT	249	373	358	454	72148
270	VEL-HI	320	352	256	416	51
271	PLANT	275	373	342	454	72291
271	VEL-HI	288	384	320	320	43
271	VEL-HI	128	736	96	160	7
272	PLANT	277	375	342	452	71804
272	VEL-HI	384	384	192	224	31
272	VEL-HI	224	864	96	64	4
273	PLANT	261	385	350	444	71263
273	VEL-HI	288	352	352	416	66
273	VEL-HI	160	704	96	64	5
274	PLANT	261	389	350	440	72345
274	VEL-HI	320	416	256	256	41
274	VEL-LO	448	672	256	160	16
275	PLANT	261	377	344	452	72699
275	VEL-HI	320	352	288	288	42
276	PLANT	261	383	348	446	72530
276	VEL-HI	256	384	352	416	69
277	PLANT	257	384	354	447	72403
277	VEL-HI	352	416	256	224	39
277	VEL-LO	0	544	352	672	110
278	PLANT	259	385	356	444	71875
278	VEL-HI	384	416	224	256	39
279	PLANT	263	385	352	446	71262
279	VEL-HI	288	352	320	448	78
280	PLANT	261	385	354	446	71295
280	VEL-HI	416	416	160	128	13
280	VEL-HI	384	544	96	128	9
280	VEL-LO	416	352	288	896	84
281	PLANT	261	389	352	444	71011
281	VEL-HI	448	416	160	256	18
282	PLANT	257	387	354	446	71350
283	PLANT	263	383	350	448	71599
283	VEL-HI	384	384	192	192	20
284	PLANT	267	381	342	449	71388
284	VEL-HI	192	832	128	128	8
284	VEL-HI	384	544	64	96	5
285	PLANT	275	383	336	447	71628
285	VEL-HI	384	416	160	256	18
285	VEL-LO	352	672	224	128	15
286	PLANT	277	381	334	448	71359
286	VEL-HI	288	288	352	416	60
286	VEL-HI	512	32	192	192	12
287	PLANT	279	381	334	448	71627
287	VEL-HI	384	416	224	224	26
287	VEL-HI	64	608	128	96	6
288	PLANT	265	380	348	449	71011
288	VEL-HI	288	384	288	320	48
289	PLANT	249	379	356	449	71263
289	VEL-HI	256	384	352	416	84
290	PLANT	249	379	352	450	72118
290	VEL-HI	288	416	288	320	44
291	PLANT	255	381	350	446	72039
291	VEL-HI	320	352	288	416	64
291	VEL-HI	608	32	96	96	5
292	PLANT	245	381	356	448	72194
292	VEL-HI	288	416	320	224	33
292	VEL-HI	416	704	160	128	8
293	PLANT	247	379	360	449	72250
293	VEL-HI	352	512	256	160	23
293	VEL-HI	416	384	128	96	10
294	PLANT	251	373	354	454	71251
294	VEL-HI	352	352	256	416	51
295	PLANT	267	371	348	456	71354
295	VEL-HI	256	352	352	384	78
296	PLANT	283	373	332	454	70503
296	VEL-HI	288	352	320	416	76
297	PLANT	283	375	338	452	70173
297	VEL-HI	288	352	320	384	51
298	PLANT	269	385	350	442	69761
298	VEL-HI	288	352	320	320	43
299	PLANT	269	381	350	446	70190
299	VEL-HI	288	384	320	416	74
300	PLANT	269	367	348	460	71134
300	VEL-HI	288	352	320	384	56
301	PLANT	261	369	358	456	71606
301	VEL-HI	416	512	96	96	9
301	VEL-LO	512	768	192	480	38
302	PLANT	275	373	342	452	72383
302	VEL-HI	416	384	192	224	23
302	VEL-HI	288	480	96	64	6
303	PLANT	275	369	340	454	72932
303	VEL-HI	416	416	192	224	24
303	VEL-HI	288	448	96	96	6
304	PLANT	263	377	348	442	70540
304	VEL-HI	288	448	128	96	9
304	VEL-HI	480	576	96	128	8
305	PLANT	251	365	360	454	71053
305	VEL-HI	416	352	192	320	30
305	VEL-HI	256	480	96	96	6
306	PLANT	259	361	350	456	72045
306	VEL-HI	416	416	192	128	15
306	VEL-HI	256	480	128	96	9
307	PLANT	253	367	348	450	72181
307	VEL-HI	288	352	320	480	79
308	PLANT	243	377	360	440	70886
308	VEL-HI	256	352	352	384	76
309	PLANT	263	373	332	446	71999
309	VEL-HI	288	384	320	384	50
309	VEL-LO	0	960	160	288	24
310	PLANT	261	367	336	452	72625
310	VEL-HI	288	352	288	288	44
310	VEL-HI	352	672	64	96	6
310	VEL-LO	32	64	192	128	11
311	PLANT	259	373	342	446	73787
311	VEL-HI	256	352	352	416	71
312	PLANT	251	369	352	450	73732
312	VEL-HI	256	384	352	352	51
313	PLANT	249	361	356	458	72928
313	VEL-HI	288	352	288	320	37
314	PLANT	249	365	350	454	71391
314	VEL-HI	320	352	288	416	66
315	PLANT	251	375	344	444	72010
315	VEL-HI	384	352	192	384	44
316	PLANT	259	375	340	444	73767
316	VEL-HI	288	352	320	384	61
317	PLANT	251	369	348	452	73753
317	VEL-LO	0	288	224	320	30
318	PLANT	243	369	352	452	73108
318	VEL-HI	288	448	160	320	28
318	VEL-HI	448	352	128	160	13
319	PLANT	245	365	356	454	73434
319	VEL-HI	352	480	160	256	24
319	VEL-HI	512	352	64	64	4
320	PLANT	257	369	354	452	74731
320	VEL-HI	128	736	160	160	10
321	PLANT	255	371	356	452	72116
321	VEL-HI	384	352	192	192	16
321	VEL-HI	288	32	96	160	7
