frame	time	camMag	camDx	camDy	meanMag	maxMag	hiFrac	loFrac	localEnergy	plantArea	plantN	plantCx	plantCy	shadowFrac	shadowChange	shadowCx	shadowCy	luma
39	1.3013	4.472	2.000	4.000	11.560	38.210	0.0386	0.1102	9.8948	0.00544	1	412.2	568.2	0.0051	0.00082	469.9	679.2	141.79
40	1.3347	4.472	2.000	4.000	11.521	39.699	0.0341	0.1875	9.6499	0.00554	1	407.5	563.7	0.0239	0.01943	548.7	424.2	142.56
41	1.3680	4.472	2.000	4.000	11.024	36.770	0.0261	0.1716	9.8762	0.00552	1	400.1	546.8	0.0202	0.00903	550.4	397.0	142.67
42	1.4014	4.000	0.000	4.000	11.944	39.699	0.0318	0.1511	11.5973	0.00576	1	403.5	548.3	0.0194	0.01992	333.8	275.0	141.56
43	1.4348	2.000	0.000	2.000	14.296	36.878	0.0261	0.1011	14.0316	0.00614	1	395.8	535.7	0.0118	0.01098	553.3	432.3	141.56
44	1.4681	2.000	0.000	2.000	15.731	35.609	0.0364	0.0989	15.6618	0.00662	2	407.1	547.8	0.0216	0.01095	558.8	362.6	142.14
45	1.5015	0.000	0.000	0.000	16.792	42.426	0.0364	0.1057	16.7922	0.00646	1	423.7	577.0	0.0264	0.01058	566.1	328.4	142.76
46	1.5349	0.000	0.000	0.000	18.042	42.426	0.0443	0.1057	18.0416	0.00675	1	445.9	608.7	0.0275	0.00979	571.7	322.5	142.68
47	1.5682	0.000	0.000	0.000	18.251	41.037	0.0511	0.1045	18.2510	0.00751	2	454.3	614.8	0.0292	0.01214	577.8	299.3	142.54
48	1.6016	0.000	0.000	0.000	18.710	42.426	0.0489	0.0943	18.7099	0.00811	2	455.1	614.5	0.0311	0.01308	584.5	265.9	141.85
49	1.6350	2.000	2.000	0.000	19.003	39.699	0.0409	0.0784	18.9047	0.00933	2	451.6	602.2	0.0322	0.01776	557.3	387.5	141.43
50	1.6683	2.828	2.000	2.000	18.484	41.037	0.0523	0.1068	18.2305	0.01023	2	458.6	606.8	0.0378	0.01152	519.9	371.9	141.54
51	1.7017	4.472	2.000	4.000	18.150	37.202	0.0398	0.0943	17.7720	0.01180	2	462.2	602.2	0.0414	0.01723	519.5	433.5	141.35
52	1.7351	4.472	2.000	4.000	17.820	42.426	0.0443	0.0841	17.3146	0.01299	2	458.9	597.5	0.0430	0.02015	506.2	384.0	140.72
53	1.7684	4.472	2.000	4.000	17.125	41.037	0.0477	0.0943	16.3605	0.01418	3	455.0	591.7	0.0499	0.01940	491.4	422.2	140.04
